,Product Name,Prices,Ratings
0,Noise ColorFit Qube SpO2 Smartwatch,"₹1,799",4.1
1,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
2,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
3,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
4,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
5,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
6,Noise Icon Buzz Bluetooth Calling with AI Voice Assistance Smartwatch,"₹3,299",4
7,realme TechLife Watch S100 1.69 HD Display with Temperature Sensor Smartwatch,"₹2,499",4.1
8,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹1,999",4.1
9,Noise ColorFit Caliber Smartwatch,"₹1,999",4.2
10,Noise ColorFit Qube SpO2 Smartwatch,"₹1,799",4.1
11,Fire-Boltt Tornado Bluetooth Calling Smartwatch Smartwatch,"₹3,999",4
12,Fire-Boltt Tornado Bluetooth Calling Smartwatch Smartwatch,"₹3,999",4
13,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
14,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
15,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
16,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
17,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
18,DIZO Watch 2 Sports (by realme TechLife),"₹2,299",4.2
19,Noise ColorFit Qube SpO2 Smartwatch,"₹1,799",4.1
20,DIZO Watch 2 (by realme TechLife),"₹2,699",4.2
21,peytil ID- 116 Plus 2022 Model Fitness Watch Smartwatch,₹699,4.5
22,DIZO Watch 2 (by realme TechLife),"₹2,699",4.2
23,DIZO Watch 2 (by realme TechLife),"₹2,999",4.2
